Poblacion,Mutacion_Pb,Generaciones,Cruce_Pb,Num_Fases,Score_Rep1,Score_Rep2,Score_Rep3,Score_Rep4,Score_Rep5,Mediana_Score,Tiempo_Inicio,Tiempo_Fin,Tiempo_Segundos
50,0.7,100,1.0,100,1228.7285770675242,1141.5979981845617,1208.7682046404464,1071.2173215397745,1409.889589451385,1208.7682046404464,2026-07-27 16:08:03,2026-07-27 16:35:46,1662.8013234138489
100,0.7,50,1.0,100,1275.9237255800697,1308.6962618804391,1203.2458835313057,1135.5700890251564,1233.9721599180994,1233.9721599180994,2026-07-28 21:01:36,2026-07-28 21:29:00,1644.1523451805117
100,0.5,100,0.1,100,1288.8920500903128,1326.7708066812788,1243.8267320625243,1245.2695661010162,1285.5059749828304,1285.5059749828304,2026-07-28 12:20:48,2026-07-28 12:46:47,1559.122920036316
100,0.7,100,0.7,50,1305.973938501119,1218.1947600842925,1218.1770689713123,1398.8975050757958,1138.9453893153266,1218.1947600842925,2026-07-29 01:19:23,2026-07-29 01:44:39,1516.8053662776947
100,0.5,50,1.0,100,1381.7226958390745,1165.4102174487955,1170.9733342709835,1232.185287758942,1315.6153446812189,1232.185287758942,2026-07-28 10:53:27,2026-07-28 11:18:37,1509.3851718902588
50,0.5,100,1.0,100,1289.9387604009833,1118.8732338679342,1246.0343594661647,1262.7666426482822,1247.4728524233915,1247.4728524233915,2026-07-27 10:20:48,2026-07-27 10:45:49,1500.8335723876953
100,0.5,100,1.0,50,1289.570543314507,1393.037505731972,1366.2819542194495,1203.6205971698848,1219.943246472795,1289.570543314507,2026-07-28 15:16:30,2026-07-28 15:41:23,1492.998883485794
100,0.0,100,1.0,100,1192.9551595517285,1289.7470949790293,1249.373286755938,1122.998700189954,1228.9062572850617,1228.9062572850617,2026-07-28 02:43:07,2026-07-28 03:07:55,1488.3547439575195
100,0.7,50,0.7,100,1425.8196515392617,1190.7384617512648,1160.6520071543005,1193.8610606052723,1257.0961544600332,1193.8610606052723,2026-07-28 20:16:39,2026-07-28 20:41:22,1483.3507804870603
50,0.7,100,0.7,100,1233.993227145525,1296.7073027399576,1159.9400878506494,1355.225163976243,1064.4969431033094,1233.993227145525,2026-07-27 15:22:38,2026-07-27 15:47:20,1482.0662882328031
100,0.5,100,0.0,100,1088.1315848950735,1212.1335512552378,1126.9927436066855,1178.2582071244444,1160.538492790697,1160.538492790697,2026-07-28 11:36:48,2026-07-28 12:01:20,1471.1917443275452
100,0.7,100,0.5,50,1239.2856663171651,1278.3663598700934,1165.205400558846,1366.832585999886,1230.7247920287089,1239.2856663171651,2026-07-28 23:56:20,2026-07-29 00:19:52,1412.61696600914
50,0.7,100,0.5,100,1230.920431351475,1296.7887558397802,1204.6185654295778,1277.6660736759277,1174.879597304346,1230.920431351475,2026-07-27 14:40:36,2026-07-27 15:03:48,1392.250138759613
100,0.7,50,0.5,100,1209.1734721093535,1178.6970940430824,1342.9356141370272,1374.696984008838,1260.3222197417008,1260.3222197417008,2026-07-28 19:35:01,2026-07-28 19:58:07,1386.2677993774414
100,0.1,100,0.7,100,1237.510953406941,1263.9748264956577,1228.5970100948846,1295.9170270292443,1319.444924765174,1263.9748264956577,2026-07-28 06:06:51,2026-07-28 06:28:39,1307.4504070281982
100,0.5,100,0.7,50,1255.1818299753452,1320.3461185311455,1206.8921921765236,1242.7715827001962,1244.6078536728285,1244.6078536728285,2026-07-28 14:00:33,2026-07-28 14:21:35,1262.598931312561
100,0.5,50,0.7,100,1146.645947161511,1200.8773340944897,1172.414621082588,1354.330661235011,1182.7026422144577,1182.7026422144577,2026-07-28 10:13:54,2026-07-28 10:34:54,1259.5976123809814
50,0.5,100,0.7,100,1279.0071884252204,1245.9080905310188,1297.2108100026187,1194.1220981873134,1149.6012733624964,1245.9080905310188,2026-07-27 09:41:41,2026-07-27 10:02:34,1253.5327367782593
100,0.7,100,0.1,50,1312.5029588810885,1353.755818334371,1130.2151412513565,1246.0831075369572,1308.6305192657371,1308.6305192657371,2026-07-28 22:45:38,2026-07-28 23:05:21,1183.479885816574
50,0.7,100,0.1,100,1106.8691387798312,1184.1719967827632,1167.0266817108538,1237.3724240772212,1177.4175434524786,1177.4175434524786,2026-07-27 14:03:36,2026-07-27 14:23:18,1182.228868484497
100,0.7,50,0.1,100,1164.0350834717583,1160.711642871422,1290.6438448590418,1183.4887488934496,1202.2238071911495,1183.4887488934496,2026-07-28 18:58:19,2026-07-28 19:17:49,1170.2768619060516
50,0.7,100,0.0,100,1389.595993254338,1229.8150162446575,1136.768901395401,1266.2352927907957,1190.1013419597325,1229.8150162446575,2026-07-27 13:29:38,2026-07-27 13:48:51,1152.825733423233
100,0.7,50,0.0,100,1172.8325957006855,1350.507351874047,1301.6433241866157,1195.337008175347,1255.9058723789487,1255.9058723789487,2026-07-28 18:24:51,2026-07-28 18:43:45,1133.7274034023285
100,0.7,100,0.0,50,1242.488191139964,1247.2477299687798,1167.04827362268,1283.2874119137684,1129.220513330808,1242.488191139964,2026-07-28 21:38:20,2026-07-28 21:57:06,1125.6027054786682
100,0.5,50,0.5,100,1157.5259831149956,1211.8544571397256,1123.180550819628,1164.9227290953218,1258.6301814884253,1164.9227290953218,2026-07-28 09:40:11,2026-07-28 09:58:18,1086.71741771698
100,0.5,100,0.5,50,1217.0202809803873,1285.1670478162457,1114.4288740819786,1328.1928767141312,1219.148440382095,1219.148440382095,2026-07-28 12:55:48,2026-07-28 13:13:52,1084.048987865448
50,0.5,100,0.5,100,1370.192998720894,1288.877350136385,1195.293360641005,1078.0838324458084,1281.8688591864109,1281.8688591864109,2026-07-27 09:08:13,2026-07-27 09:26:16,1082.86332321167
100,0.1,50,1.0,100,1183.331066263772,1160.0619167804357,1231.0761489291972,1119.8310636255508,1256.2689549109643,1183.331066263772,2026-07-28 04:46:57,2026-07-28 05:03:07,969.8080315589904
100,0.1,100,1.0,50,1237.705147384908,1300.2193399642977,1098.138948955132,1304.320007227083,1260.1959855604005,1260.1959855604005,2026-07-28 06:36:49,2026-07-28 06:52:39,949.6841659545898
100,1.0,50,1.0,50,1233.9522567231825,1217.119184802613,1155.9007128872663,1289.9278821530336,1285.884614266807,1233.9522567231825,2026-07-29 10:00:21,2026-07-29 10:15:58,937.3863270282744
50,0.1,100,1.0,100,1298.3514568087814,1202.5273121660905,1139.0744165182964,1294.028200067517,1338.3997179523922,1294.028200067517,2026-07-27 05:58:25,2026-07-27 06:13:59,933.6185085773468
50,1.0,100,1.0,50,1029.369944668148,1350.991613618239,1143.6774970123615,1209.548202811865,1207.2087028393348,1207.2087028393348,2026-07-27 23:26:02,2026-07-27 23:41:32,929.971837759018
