Poblacion,Mutacion_Pb,Generaciones,Cruce_Pb,Num_Fases,Score_Rep1,Score_Rep2,Score_Rep3,Score_Rep4,Score_Rep5,Mediana_Score,Tiempo_Inicio,Tiempo_Fin,Tiempo_Segundos
5,0,100,0.1,50,1257.005597,1217.37174,1165.806797,1405.816149,1217.535021,1217.535021,26/07/2026 23:03,26/07/2026 23:03,7.497221231
5,0,100,0.1,100,1175.532693,1205.287516,1195.855252,1250.638509,1282.863548,1205.287516,26/07/2026 23:03,26/07/2026 23:03,14.81366515
5,0,100,0.5,5,1125.379953,1216.795055,1266.618609,1099.874277,1241.887958,1216.795055,26/07/2026 23:03,26/07/2026 23:03,2.285113096
5,0,100,0.5,20,1275.417895,1218.660186,1238.703419,1301.270101,1095.488819,1238.703419,26/07/2026 23:03,26/07/2026 23:03,9.027346611
5,0,100,0.5,50,1173.332284,1207.609943,1219.282422,1197.923726,1071.089178,1197.923726,26/07/2026 23:03,26/07/2026 23:04,24.50456548
5,0,100,0.5,100,1163.435125,1359.796125,1167.489876,1103.372103,1285.365869,1167.489876,26/07/2026 23:04,26/07/2026 23:04,47.01304293
5,0,100,0.7,5,1099.395834,1281.841566,1203.105316,1166.1021,1172.752618,1172.752618,26/07/2026 23:04,26/07/2026 23:04,3.16954875
5,0,100,0.7,20,1167.132532,1057.177088,1256.240929,1175.388358,1244.742368,1175.388358,26/07/2026 23:04,26/07/2026 23:05,12.99380708
5,0,100,0.7,50,1265.226467,1121.510701,1307.602383,1155.774469,1241.625347,1241.625347,26/07/2026 23:05,26/07/2026 23:05,35.78578734
5,0,100,0.7,100,1109.767177,1190.930361,1185.980802,1207.508047,1152.501167,1185.980802,26/07/2026 23:05,26/07/2026 23:06,67.87106276
5,0,100,1,5,1253.237753,1146.317341,1133.722095,1178.348312,1245.139576,1178.348312,26/07/2026 23:06,26/07/2026 23:06,4.536010504
5,0,100,1,20,1281.8184,1268.226809,1230.848386,1256.671439,1175.884255,1256.671439,26/07/2026 23:06,26/07/2026 23:07,18.08826041
5,0,100,1,50,1137.538201,1273.405461,1170.787838,1286.737756,1272.927938,1272.927938,26/07/2026 23:07,26/07/2026 23:08,52.21486378
5,0,100,1,100,1285.396331,1244.95838,1076.958678,1076.68828,1323.503355,1244.95838,26/07/2026 23:08,26/07/2026 23:09,86.89074373
5,0.1,5,0,5,1246.58207,1321.19465,1247.523624,1105.346088,1272.427836,1247.523624,26/07/2026 23:09,26/07/2026 23:09,0.252494812
5,0.1,5,0,20,1211.224417,1408.791022,1176.689768,1328.737471,1383.43354,1328.737471,26/07/2026 23:09,26/07/2026 23:09,0.951533079
5,0.1,5,0,50,1245.662251,1211.720019,1332.656168,1150.06219,1247.376843,1245.662251,26/07/2026 23:09,26/07/2026 23:09,2.678034067
5,0.1,5,0,100,1255.455339,1345.16617,1307.727499,1248.669927,1142.653572,1255.455339,26/07/2026 23:09,26/07/2026 23:09,3.887737751
5,0.1,5,0.1,5,1295.449128,1249.739994,1222.041028,1292.514689,1290.540016,1290.540016,26/07/2026 23:09,26/07/2026 23:09,0.19568038
5,0.1,5,0.1,20,1233.783433,1284.424338,1107.840517,1217.352926,1321.820326,1233.783433,26/07/2026 23:09,26/07/2026 23:09,0.757573605
5,0.1,5,0.1,50,1163.845391,1225.351196,1233.997809,1197.326284,1253.668773,1225.351196,26/07/2026 23:09,26/07/2026 23:09,1.979128122
5,0.1,5,0.1,100,1191.38887,1220.907972,1239.067649,1236.818864,1213.659933,1220.907972,26/07/2026 23:09,26/07/2026 23:09,3.926101446
5,0.1,5,0.5,5,1221.9364,1348.139836,1220.367885,1343.569866,1211.347194,1221.9364,26/07/2026 23:09,26/07/2026 23:09,0.32539463
5,0.1,5,0.5,20,1211.561285,1364.573299,1088.497594,1138.530534,1145.525909,1145.525909,26/07/2026 23:09,26/07/2026 23:09,1.169287443
5,0.1,5,0.5,50,1390.337992,1295.082303,1273.382087,1214.392014,1104.512045,1273.382087,26/07/2026 23:09,26/07/2026 23:09,3.397909641
5,0.1,5,0.5,100,1177.077368,1200.118047,1229.969374,1182.878337,1193.25861,1193.25861,26/07/2026 23:09,26/07/2026 23:10,6.347674608
5,0.1,5,0.7,5,1222.207599,1293.066614,1274.139977,1353.388454,1137.613025,1274.139977,26/07/2026 23:10,26/07/2026 23:10,0.48641777
5,0.1,5,0.7,20,1299.270812,1145.50035,1283.084578,1272.409463,1372.080269,1283.084578,26/07/2026 23:10,26/07/2026 23:10,1.462429047
5,0.1,5,0.7,50,1161.151137,1251.913265,1176.974775,1463.944203,1073.483799,1176.974775,26/07/2026 23:10,26/07/2026 23:10,3.745200157
5,0.1,5,0.7,100,1316.138644,1328.216633,1294.916077,1266.876416,1089.983499,1294.916077,26/07/2026 23:10,26/07/2026 23:10,6.78531456
5,0.1,5,1,5,1236.879262,1230.370192,1213.538541,1099.632269,1110.085563,1213.538541,26/07/2026 23:10,26/07/2026 23:10,0.427301168
5,0.1,5,1,20,1141.137913,1071.075831,1324.457803,1330.421712,1093.738763,1141.137913,26/07/2026 23:10,26/07/2026 23:10,1.763886452
5,0.1,5,1,50,1202.205452,1206.022398,1243.144661,1074.154155,1273.733476,1206.022398,26/07/2026 23:10,26/07/2026 23:10,4.293073893
5,0.1,5,1,100,1194.784608,1281.674594,1159.6645,1130.985993,1208.34167,1194.784608,26/07/2026 23:10,26/07/2026 23:10,8.177535295
